Session,Segments,Timestamp Log,Timecode,User_1,User_1_Pos,User_1_Role,Type,Emotion,Target_1,Target_1_Pos,Target_1_Role,Target_2,Target_2_Pos,Target_2_Role
Session 3,s3,2020-11-26T13:55:54.907083,2000-01-01 13:55:54,Clement,D,Ecolo,Feeling,peur,Paul,A,Corporate,,,
Session 3,s3,2020-11-26T13:56:56.985883,2000-01-01 13:56:56,Paul,A,Corporate,Feeling,joie,Clement,D,Ecolo,,,
Session 3,s3,2020-11-26T13:56:59.301998,2000-01-01 13:56:59,Paul,A,Corporate,Feeling,joie,theme,theme,theme,Clement,D,Ecolo
Session 3,s3,2020-11-26T13:57:05.385631,2000-01-01 13:57:05,Nicolas,B,Presse,Feeling,colere,temps,temps,temps,Clement,D,Ecolo
Session 3,s3,2020-11-26T13:57:45.533778,2000-01-01 13:57:45,Nicolas,B,Presse,Feeling,colere,temps,temps,temps,Clement,D,Ecolo
Session 3,s3,2020-11-26T13:58:03.415027,2000-01-01 13:58:03,Paul,A,Corporate,Feeling,joie,Clement,D,Ecolo,comportement,comportement,comportement
Session 3,s3,2020-11-26T13:58:33.923652,2000-01-01 13:58:33,Paul,A,Corporate,Feeling,tristesse,Clement,D,Ecolo,,,
Session 3,s3,2020-11-26T13:58:43.520741,2000-01-01 13:58:43,Paul,A,Corporate,Feeling,joie,comportement,comportement,comportement,groupe,groupe,groupe
Session 3,s3,2020-11-26T13:59:09.225357,2000-01-01 13:59:09,Paul,A,Corporate,Feeling,joie,comportement,comportement,comportement,groupe,groupe,groupe
Session 3,s3,2020-11-26T13:59:12.810950,2000-01-01 13:59:12,Paul,A,Corporate,Feeling,colere,Clement,D,Ecolo,,,
Session 3,s4,2020-11-26T14:02:57.948220,2000-01-01 14:02:57,Nicolas,B,Presse,Feeling,tristesse,Paul,A,Corporate,comportement,comportement,comportement
Session 3,s4,2020-11-26T14:03:00.707700,2000-01-01 14:03:00,Clement,D,Ecolo,Feeling,peur,Paul,A,Corporate,,,
Session 3,s4,2020-11-26T14:03:13.202459,2000-01-01 14:03:13,Clement,D,Ecolo,Feeling,peur,Paul,A,Corporate,,,
Session 3,s4,2020-11-26T14:03:24.007573,2000-01-01 14:03:24,Clement,D,Ecolo,Feeling,colere,Paul,A,Corporate,,,
Session 3,s4,2020-11-26T14:03:42.197158,2000-01-01 14:03:42,Paul,A,Corporate,Feeling,colere,comportement,comportement,comportement,groupe,groupe,groupe
Session 3,s4,2020-11-26T14:04:12.156067,2000-01-01 14:04:12,Nicolas,B,Presse,Feeling,joie,theme,theme,theme,Clement,D,Ecolo
Session 3,s4,2020-11-26T14:04:15.342294,2000-01-01 14:04:15,Paul,A,Corporate,Feeling,colere,Clement,D,Ecolo,,,
Session 3,s4,2020-11-26T14:04:57.941291,2000-01-01 14:04:57,Paul,A,Corporate,Feeling,joie,theme,theme,theme,groupe,groupe,groupe
